movie,sentence,score
더 퍼스트 슬램덩크,진짜 좋았다! 한번 더 볼 예정ㅎㅎ,10
더 퍼스트 슬램덩크,말해 머하나 그냥 슬램덩크 자체를 볼 수 있다는게 감동이지,10
더 퍼스트 슬램덩크,9번 봤습니다. 말이 필요없는 명작이예요,10
더 퍼스트 슬램덩크,4번봤고 좋았음 정말좋았다,10
더 퍼스트 슬램덩크,완전 감동입니다 울컥 했습니다 스토리면 스토리 그림이면 그림 강백호가 입체로 제 앞에나타났습니다,9
더 퍼스트 슬램덩크,그냥 보면 뭔지 암 그냥 미쳤음,10
더 퍼스트 슬램덩크,엄마 뒤에서 껴안을때 펑펑울음 그뒤로 10분간 하이라이트에서 숨도못쉬고 봄,10
더 퍼스트 슬램덩크,엄마 뒤에서 껴안을때 펑펑울음 그뒤로 10분간 하이라이트에서 숨도못쉬고 봄,10
더 퍼스트 슬램덩크,그 시절이 떠오르는건 왜일까?,10
더 퍼스트 슬램덩크,설레고 그립다 나는 그 시절에 살지 않았는데도,10
더 퍼스트 슬램덩크,오랜만에 진짜 재밌게 봤네요.전 너무 재밌었어요~!!,10
더 퍼스트 슬램덩크,재미있어요 추억이 새록새록,10
더 퍼스트 슬램덩크,너무 재밌어요 여러번 봐도 안 질려요,10
더 퍼스트 슬램덩크,또 다른편도 기대할께요 ㄹㅇ,10
더 퍼스트 슬램덩크,"연필 스케치로 시작되는 연출이 진짜 미쳤음자막보다 더빙을 더 추천함 노래도 멋있고 그냥 다 좋다,,, ",10
더 퍼스트 슬램덩크,사람들을 농구에 미쳐버리게 만들다니,10
더 퍼스트 슬램덩크,이영화가 왜좋은지 진짜모르것다,2
더 퍼스트 슬램덩크,"개봉날 서쿠로 자막, 오늘 싸다구로 더빙 관람하였습니다.슬램덩크 기초지식 없어도 재미있게 볼수있습니다.",10
더 퍼스트 슬램덩크,세상이 날 몰카하는건가?,3
더 퍼스트 슬램덩크,불꽃남자 정대만!!!~!!!’,10
더 퍼스트 슬램덩크,"이미 알고있는 이야기, 익숙한 작화. 근데 그것이 살아 움직일때 감동적이다. 강백호의 성장드라마였던 원작을 송태섭의 시점에서 재구성한것도 매력적이었다. ",8
더 퍼스트 슬램덩크,슬램덩크의 슬자도 모르던 십대 여고생의 첫 인생영화,10
더 퍼스트 슬램덩크,볼만함,10
더 퍼스트 슬램덩크,이건.. 미친거예요! 어떻게 이렇게 연출할 수 있는지.. ㅠㅠ 잊고 있었던 대사와 장면들이 살아 움직이는데 종이책으로 수십번 봤던 장면들이라 그런지 안 잊혀지고 아! 하고 되살아나는게 너무 신기했어요.. 진짜 살아있어서 감사하다 느낄 정도로 그 시절의 감동과 현재의 기술이 접목된 최고의 예술작품..  ,10
더 퍼스트 슬램덩크,농구가 하고싶어요...,10
더 퍼스트 슬램덩크,한 번씩 볼만해요 !! 강백호 입덕함,9
더 퍼스트 슬램덩크,한 번씩 볼만해요 !! 강백호 입덕함,9
더 퍼스트 슬램덩크,진짜 후반부 개오집니다 개재밌네요 여잔데 내용 하나도 모르고 등장인물만 공부하고 갔는데 개재밌음 ㅠㅠ 선수들 개멋지고 브금도 개간지남 씹덕 심장 개뜁니다....,10
